Url,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/aveleda-vinho-verde-quinta-da-aveleda/w/2020763,Vinho Verde Quinta da,No disponible,Portugal,Vinho verde,Aveleda,Vino blanco,Albariño,6.95,3.8,5,"Marisco, Vegetariana, Aperitivos y tentempiés"
https://www.vivino.com/ES/es/bodegas-piqueras-sa-el-abuelo-verdejo-sauvignon-blanc-almansa/w/5965066,El Abuelo Verdejo - Sauvignon Blanc,2023,España,Almansa,Bodegas Piqueras,Vino blanco,"Sauvignon Blanc, Verdejo",6.99,3.9,5,
https://www.vivino.com/ES/es/lergenmuller-fruits-de-mer-riesling/w/2119720,Fruits de Mer Riesling,No disponible,Alemania,Pfalz,Lergenmüller,Vino blanco,Riesling,No disponible,3.6,11,"Cerdo, Marisco, Aves, Comida picante, Carne adobada"
https://www.vivino.com/ES/es/it-ferruccio-deiana-sanremy-vermentino-di-sardegna/w/1682515,Sanremy Vermentino di Sardegna,No disponible,Italia,Vermentino di Sardegna,Ferruccio Deiana,Vino blanco,Vermentino,6,3.6,5,"Marisco, Vegetariana, Aperitivos y tentempiés"
https://www.vivino.com/ES/es/warwick-stellenbosch-the-first-lady-sauvignon-blanc-stellenbosch-white-wine/w/5764103,The First Lady Sauvignon Blanc,No disponible,Sudáfrica,Stellenbosch,Warwick,Vino blanco,Sauvignon Blanc,7.73,3.7,13,"Marisco, Vegetariana, Queso de leche de cabra"
https://www.vivino.com/ES/es/zannotti-collinetto-verdicchio-dei-castelli-di-jesi-classico/w/1955635,Collinetto Verdicchio dei Castelli di Jesi Classico,No disponible,Italia,Verdicchio dei Castelli di Jesi,Zannotti,Vino blanco,Verdicchio,5.99,3.4,No disponible,"Vegetariana, Pasta, Aperitivos y tentempiés, Pescado blanco, Carne adobada"
https://www.vivino.com/ES/es/nekeas-el-rincon-de-nekeas-chardonnay/w/4538116,El Rincón de Nekeas Chardonnay,No disponible,España,Navarra,Bodegas Nekeas,Vino blanco,Chardonnay,7.50,3.6,14,"Cerdo, Vegetariana, Aves, Pescado azul (salmón, atún, etc.)"
https://www.vivino.com/ES/es/di-majo-norante-moli-bianco/w/9305,Moli Bianco,No disponible,Italia,Terre degli Osci,Di Majo Norante,Vino blanco,Falanghina,7.10,3.5,7,"Marisco, Vegetariana, Aperitivos y tentempiés"
https://www.vivino.com/ES/es/alta-pavina-verdejo-rueda/w/3753229,Verdejo,2023,España,Rueda,Alta Pavina,Vino blanco,Verdejo,7.80,3.6,12,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/domaine-girard-bourgogne-chardonnay/w/1791349,Chardonnay,No disponible,Francia,Pays d'Oc,Domaine Girard,Vino blanco,Chardonnay,8.48,3.8,14,"Vegetariana, Aves, Pasta, Pescado blanco, Aperitivo"
https://www.vivino.com/ES/es/kirchner-sauvignon-blanc/w/2721447,Sauvignon Blanc,No disponible,Alemania,Pfalz,Kirchner,Vino blanco,Sauvignon Blanc,7.71,3.5,12,"Marisco, Vegetariana, Queso de leche de cabra"
https://www.vivino.com/ES/es/epilogo-castilla-la-mancha-viognier/w/4898668,Viognier,No disponible,España,La Mancha,Epilogo,Vino blanco,Viognier,7.30,3.7,No disponible,
https://www.vivino.com/ES/es/allegranza-slightly-oaked-chardonnay/w/9724694,Slightly Oaked Chardonnay,2022,España,La Mancha,Allegranza,Vino blanco,Chardonnay,6.90,3.8,13,"Cerdo, Vegetariana, Aves, Pescado azul (salmón, atún, etc.)"
https://www.vivino.com/ES/es/es-pago-casa-gran-casa-benasal-blanco/w/2312249,Casa Benasal Blanco,No disponible,España,Valencia,Pago Casa Gran,Vino blanco,Gewürztraminer,8.90,3.8,No disponible,
https://www.vivino.com/ES/es/tall-horse-chenin-blanc/w/1667556,Chenin Blanc,No disponible,Sudáfrica,Coastal Region,Tall Horse,Vino blanco,Chenin Blanc,6.79,3.7,5,"Marisco, Comida picante, Pescado blanco, Queso tierno y cremoso"
https://www.vivino.com/ES/es/es-ojos-del-guadiana-airen/w/2477660,Airén,2022,España,La Mancha,Ojos del Guadiana,Vino blanco,Airen,4.66,3.4,5,"Marisco, Vegetariana, Aves, Pescado blanco"
https://www.vivino.com/ES/es/vicente-gandia-pla-uva-pirata-garnacha-blanca/w/10571449,Uva Pirata Garnacha Blanca,2023,España,Valencia,Vicente Gandía,Vino blanco,Garnacha Blanca,5.50,3.8,No disponible,
https://www.vivino.com/ES/es/chivite-moscatel-navarra/w/3804366,Moscatel,No disponible,España,Navarra,Gran Feudo,Vino blanco,Moscatel,7.80,3.8,12,
https://www.vivino.com/ES/es/hnos-pecina-senorio-de-p-pecina-cosecha-blanco/w/4081294,Señorio de P. Peciña Cosecha Blanco,2021,España,Rioja,Hermanos Peciña,Vino blanco,Viura,7.90,3.6,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Carne adobada"
https://www.vivino.com/ES/es/fuenteseca-blanco/w/1431751,Blanco,No disponible,España,Utiel-Requena,Fuenteseca,Vino blanco,"Macabeo, Sauvignon Blanc",9,3.5,12,
https://www.vivino.com/ES/es/armas-de-guerra-godello/w/4013019,Godello,2024,España,Bierzo,Armas de Guerra,Vino blanco,Godello,7.95,3.4,13,
https://www.vivino.com/ES/es/oliver-viticultors-ten-000-hores-xarel-lo/w/4369316,10.000 Hores Xarel-lo,2022,España,Penedès,Oliver Viticultors,Vino blanco,Xarel-lo,6.85,3.7,12,
https://www.vivino.com/ES/es/bodegas-toribio-fermentado-en-barrica/w/2134197,Fermentado en Barrica,No disponible,España,Ribera del Guadiana,Bodegas Toribio,Vino blanco,Macabeo,6.50,3.7,No disponible,
https://www.vivino.com/ES/es/castelo-vins-petit-diamond/w/4138118,Petit Diamond,2022,España,Penedès,Castelo Vins,Vino blanco,"Muscat Blanc, Macabeo, Parellada",5.25,3.4,No disponible,
https://www.vivino.com/ES/es/oliveda-marrec-blanc/w/4789196,Marrec Blanc,2024,España,Empordà,Oliveda,Vino blanco,"Macabeo, Chardonnay",4.99,3.4,5,
https://www.vivino.com/ES/es/burgunderhof-pfannebecker-grauburgunder/w/1265862,Grauburgunder,No disponible,Alemania,Rheinhessen,Pfannebecker,Vino blanco,Grauburgunder,9,3.7,13,"Cerdo, Comida picante, Champiñones, Carne adobada"
https://www.vivino.com/ES/es/montespina-sauvignon/w/1139309,Sauvignon,2023,España,Rueda,Montespina,Vino blanco,Sauvignon Blanc,7.45,3.7,13,"Marisco, Vegetariana, Queso de leche de cabra"
https://www.vivino.com/ES/es/finca-venta-de-don-quijote-sauvignon-blanc-macabeo-la-mancha/w/1939609,Sauvignon Blanc - Macabeo,2024,España,La Mancha,Finca Venta de Don Quijote,Vino blanco,"Sauvignon Blanc, Macabeo",2.96,3.8,5,
https://www.vivino.com/ES/es/corcovo-megia-e-hijos-valdepenas-verdejo/w/1687160,Verdejo,2023,España,Valdepeñas,Corcovo - Megía e Hijos,Vino blanco,Verdejo,7.08,3.8,No disponible,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/villa-dria-chardonnay-gros-manseng-terre-de-feu/w/1635986,Chardonnay - Gros Manseng (Terre de Feu),No disponible,Francia,Côtes de Gascogne,Villa Dria,Vino blanco,"Chardonnay, Gros Manseng",7.24,3.8,12,"Marisco, Aves, Comida picante, Pescado blanco, Queso de leche de cabra, Carne adobada"
https://www.vivino.com/ES/es/javier-ruiz-veyovis-verdejo/w/1839842,Veyovis Verdejo,No disponible,España,Rueda,Javier Ruiz,Vino blanco,Verdejo,8,3.8,13,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/bodegas-la-eralta-hacienda-el-olmo-blanco/w/9440201,Hacienda El Olmo Blanco,2023,España,Rioja,Bodegas la Eralta,Vino blanco,Viura,5.12,3.9,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Carne adobada"
https://www.vivino.com/ES/es/viticultori-associati-canicatt-aquilae-chardonnay/w/2229952,Aquilae Chardonnay,No disponible,Italia,Terre Siciliane,CVA Canicatti,Vino blanco,Chardonnay,15,3.6,13,"Marisco, Vegetariana, Aperitivos y tentempiés"
https://www.vivino.com/ES/es/federico-paternina-sa-verdejo/w/2683209,Verdejo,2023,España,Rueda,Federico Paternina,Vino blanco,Verdejo,4.57,3.5,13,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/balmoral-finca-el-moralejo-maravides-white-chardonnay/w/1814656,Maravides Chardonnay,No disponible,España,Castilla,Balmoral,Vino blanco,Chardonnay,8.45,3.7,No disponible,"Cerdo, Vegetariana, Aves, Pescado azul (salmón, atún, etc.)"
https://www.vivino.com/ES/es/adhuc-tempus-verdejo/w/5568524,Verdejo,No disponible,España,Rueda,Adhuc Tempus,Vino blanco,Verdejo,7.06,3.9,No disponible,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/la-soterrana-eresma-godello-sobre-lias/w/11775576,Eresma Godello Sobre Lias,2023,España,Castilla y León,Bodegas La Soterraña,Vino blanco,Godello,7.47,3.7,No disponible,
https://www.vivino.com/ES/es/freixenet-seleccion-especial/w/9812269,Selección Especial,2022,España,Cataluña,Freixenet,Vino blanco,"Chardonnay, Sauvignon Blanc, Macabeo",7.25,3.5,12,
https://www.vivino.com/ES/es/familia-torres-san-valentin-semi-dulce/w/3335670,San Valentín Semi-Dulce,2023,España,Penedès,Familia Torres,Vino blanco,Parellada,6,3.9,11,
https://www.vivino.com/ES/es/juan-alcorta-atrevido-verdejo-rueda-white-wine/w/6622012,Atrevido Verdejo,2023,España,Rueda,Alcorta,Vino blanco,Verdejo,6.50,3.6,5,"Cerdo, Marisco, Vegetariana, Carne adobada"
